"_c0","text"
"主任自动标注算法工程师","深度学习,图像算法,C/C++,算法工程化经验,优秀开源项目经历	职位描述：
1. 负责智能驾驶自动标注系统的研发和工程落地；
职位要求：
1. 计算机视觉、模式识别、机器学习等相关专业的硕士及以上学历； 
2. 具有扎实的数学基础，精通多视几何、计算机视觉、机器人等基础知识；
3. 具有VIO/SLAM/SFM/3D视觉等算法开发和系统实现经验；
4. 扎实的C/C++编程知识及熟练使用OpenCV/Eigen/G2O等库；
5. 熟悉深度学习在位姿/重建/地图等方面的算法和应用；
6. 有良好的沟通表达能力和团队合作意识，并具备较强的抗压能力；"
"激光点云算法工程师","OpenCV,PCL,OpenGL,激光点云	职位描述：
1、点云相关算法的设计、优化及实现；如点云分割、分类和地物特征提取算法研发；
2、点云的对象检测、识别和跟踪算法研发；
任职要求：
1、测绘、地理信息系统、遥感技术与应用、计算机或数学相关专业背景，本科及以上学历；
2、熟练IOS开发，了解熟悉激光雷达点云工作原理，对联合标定有一定了解，精通OpenCV、OpenGL，Lidar数据处理流程相关算法，熟悉PCL等开源点云库;
3、熟悉点云处理算法的一个或多个方向：如点云去噪、点云匹配、点云分割、点云追踪等；
4、可接受远程兼职；"
"智能营销算法工程师","数据处理,算法优化,优化算法,算法设计,算法研究,算法开发	工作职责：
1. 负责京东物流产品的智能营销、动态定价、折扣设计的算法设计开发和效果优化；
2. 基于Big-Data，以转化率提升 / ROI增长等为目标，构建和优化通用营销类算法和策略；
3. 从业务需求出发，通过数据分析和智能算法设计，对具体营销场景策略方案的设计与实施进行全流程闭环跟进，对营销效果负责；
4. 积极跟进前沿技术探索，将新技术应用于实际业务。
任职要求：
1. 机器学习、计算机、数学、统计学相关专业硕士及以上学历；
2. 在经典机器学习、深度学习或运筹优化等一个或多个领域有扎实理论基础或丰富研发经验，曾在互联网营销、搜索推荐、广告等领域有工作经验者优先；
3. 熟悉Java/Python/C++中的一种或多种编程语言，熟悉大数据处理技术（Hadoop/Spark/Hive），善于学习和应用业界领先数据架构和技术处理实际策略类问题；
4. 良好的逻辑思维能力，在复杂业务场景下能够分解和抽象问题，提供优秀、完整、可行的解决方案；
5. 对解决具有挑战性问题充满激情，较强的责任心和主动性，良好的沟通协作和抗压能力。"
"算法实习生(A110717)","大模型算法,广告算法,分布式训练,算法工程化经验,AI算法	职位描述：
1. 基于业务需求，设计AI算法应用方案（算法框架、模型选择、实现路径等）
2. 开发AI算法模型，与业务流程结合联通
3. 进行模型评估、调优。迭代，最终达到业务标准


职位要求：
1. 人工智能、计算机、统计学及相关专业在读硕士
2. 985、211院校优先
3. 每周实习天数不少于四天，实习时长不少于6个月"
"CV算法工程师（MJ016828）","图像处理库（OpenCV等）,深度学习,大模型算法,机器学习,图像搜索,OCR,人像算法,图像检索,reID,图像识别	岗位职责
1、负责图像搜索方向的研发工作，包括但不限于目标检测、分类、检索、比对、OCR、多模态比对等技术
2、负责将图像搜索技术应用于电商场景，包括但不局限于拍照购等

任职要求：
1、研究生及以上学历，计算机、数学、物理等相关专业，有扎实的数学功底；
2、在图像搜索或人脸识别等相关领域具有算法研发和项目落地经验，熟练掌握超大规模数据清洗和多机多卡训练方法，熟悉多模态匹配方法
3、具有良好的自我驱动意识、产出意识和团队合作意识
4、扎实的代码功底和优秀的方法复现能力，不断追踪多模态生成领域内的前沿技术并能够将先进技术转化落地；

加分项
1、参与过业界知名的明星项目者优先
2、在CV领域核心顶会（包括但不限于CVPR/ICCV/ECCV/ICLR/NIPS/AAAI）上，以主要作者身份发表过多模态图像生成相关论文者优先"
"高级算法工程师","算法研究,大数据算法,强化学习	职责和职能：
1. 负责设计和开发机器学习算法、深度学习模型等，用于解决公司产品中的核心问题；
2. 进行算法的数据分析和挖掘，提取有效的特征和模式；
3. 进行算法模型的优化和优，提高算法的性能和准确度；
4. 参与制定算法研发的技术路线和计划，推动公司在算法领域的创新；
5. 跟踪和了解业界最新的算法技术和研究成果，保持技术的前
任职要求：
1. 硕士及以上学历，计算机科学、数学或相关专业；
2. 有3年以上算法工程师经验，熟悉常用的机器学习和深度学习算法；
3. 熟练掌握Python或其他编程语言，熟悉常用的机器学习和深度学习框架；4. 具备扎实的数学和统计基础，熟悉常用的数据分析和挖掘方法；5. 具备良好的问题分析和解决能力，能够快速识别和解决算法问题；6. 具备良好的团队合作和沟通能力，能够与团队成员和其他部门进行有效合作。"
"飞控算法工程师","C++	岗位职责：<div> <p>1、开发基于PX4、ROS与Gazebo的无人机仿真平台;</p> <p>2、仿真环境测试无人机感知、规划、集群算法;</p> <p>3、真机测试无人机感知、规划、集群算法。</p> <p>任职要求：</p> <p>1、3 年及以上工作经验，理工科硕士以上学历，有一定的英文听说读写能力；</p> <p>2、具有无人机开发经验，具有PX4，ROS与Gazebo的开发经验;掌握C++与Python语言;</p> <p>3、至少掌握一种三维建模工具，如Solidworks、Catia;</p> <p>4、具有组装、调试实物无人机经验的优先。</p></div>"
"算法工程师","	        一、主要工作职责：1、 负责公差分析软件的核心算法编写；二、任职资格：1、机械设计相关专业统招本科以上学历；2、数学能力优秀；熟悉计算机图形学、计算数学，熟悉矩阵、非线性方程组的优先；3、熟练常用办公软件；熟悉CAD、CAE等软件者优先；4、愿意从事工业软件研发方向；5、逻辑思维能力强，具备良好的分析判断能力，思维敏捷、处事干练，善于沟通，富有团队精神，能够承受工作压力。                "
"业务拓展经理(消费电子/数据中心/服务器/AI智能算力硬件行业)","KA大客户,企业客户,面销/陌拜	<div> 工作地点：不限，远程办公</div><div> <br></div>**主要职责**<br>- 深入了解消费电子、数据中心、服务器及周边配件、AI智能算力器件相关行业，包括市场趋势、客户需求和竞争对手情况，制定切实可行且具有前瞻性的销售和市场拓展策略。<br>- 运用多种渠道和工具，如行业展会、网络平台、社交媒体等，积极主动地识别潜在客户，并与他们建立初步联系。<br>- 通过拜访客户、举办产品演示会等方式，与潜在客户进行深入沟通，全面了解客户的业务模式、技术需求和发展规划，为其量身定制精准且专业的粘合剂解决方案。<br>- 定期收集市场动态、竞争对手产品信息和客户反馈等，运用数据分析工具进行深入分析，形成详细的报告，为公司的产品优化升级、市场定位调整和营销策略改进提供具有决策价值的建议。<br>- 与客户保持长期紧密的沟通，及时处理客户的投诉和问题，提供优质的售后支持服务，努力提高客户满意度和忠诚度，以促进二次销售和客户转介绍。<br>- 密切关注行业法规和政策变化，及时调整销售策略和方案，确保业务活动始终符合法律和政策要求，降低经营风险。<br>- 协助市场部团队制定宣传资料和推广活动方案，通过成功案例分享和技术讲座等形式提升公司品牌在目标行业的知名度和影响力。<div>  <br>**任职要求**  <br>- 具备5年以上销售工作经验，有消费电子、数据中心、服务器及周边配件、AI智能算力器件行业或者粘合剂销售经验者尤佳。  <br>- 熟悉销售流程和客户关系管理原则，拥有良好的销售技巧和谈判能力。  <br>- 对市场动态有敏锐的洞察力，能够准确把握市场趋势和客户需求。  <br>- 具备优秀的市场分析和商机识别能力，能够制定有效的销售策略。  <br>- 具备出色的沟通能力和人际交往技巧，能够与不同层次的客户进行有效沟通。  <br>- 有较强的自我激励能力和目标导向意识，能够在压力下积极进取，完成销售任务。  <br>- 具备良好的团队合作精神，能够与内部各部门协同工作，为客户提供优质的解决方案。  <br>- 拥有良好的问题解决能力，在面对复杂销售问题和客户挑战时能够灵活应变。  <br>- 能够适应定期出差，拓展业务和维护客户关系。  <div>   <br>福利待遇：   <br>1、全球统一的、有竞争力的提成制度，上不封顶；   <br>2、定期提供专业的内训和外训机会；   <br>3、为员工办理五险一金，并额外为其配偶和子女购买商业保险；   <br>4、享受国家法律规定的所有法定假期，带薪年假、婚假、产假、陪产假等；   <br>5、各项员工福利，如节日礼金、团体活动、定期体检、工会福利等。   <div>    <br>有意者请通过智联投递简历应聘。如需了解更多信息，可发起聊天与HR对话。   </div>  </div></div>"
"银泰商业-视觉生成算法专家-AIGC","AIGC,视觉生成算法	工作职责
1. 跟进和部署视觉生成相关算法在商品数字化、服装搭配等领域的算法；
2. 在可控场景下，设计完整的自动化生产流水线逻辑；
3. 解决文本生图的一致性、稳定性、可控性、性能等问题。
任职资格
1. 计算机、数学、统计、自动化等相关专业硕士及以上，具有优秀的理解力与执行力；
2. 3年及以上图像理解，图像生成等领域相关经验，熟悉以下至少一个方向；
   2.1 服装类高精度分割算法的研发和部署；
   2.2 人体姿态检测和估计算法的研发和部署；
   2.3 基于Stable Diffusion, Dreambooth等一项或多项相关工作，进行生图像生成算法的研发和部署；
3. 掌握基本的图形学知识和深度学习基础算法，具有综合使用各类算法实现特定功能的能力；
4. 有较强的学习，分析与解决问题能力，有内外沟通能力，良好的工程能力；
5. 熟练掌握Python/Java等，以及Tensorflow/Pytorch等深度学习框架。"
"算法工程师（点云算法方向）","目标检测,自动驾驶,Python,C++	职责描述：
1.负责自动高精度地图生产中激光点云处理算法
2.负责点云配准、拼接、融合等算法研究于开发
3.负责点云目标检测/分割/分类等常见任务
4.负责点云和相机融合的物体识别算法
5.负责点云分割模型精度及效率评估
任职要求：
1.本科及以上学历，计算机/测绘工程/地信/遥感/摄影测量等相关专业，6年以上点云处理工作经验；
2.熟悉cloudcompare、PCL等点云库，具有点云可视化、处理相关知识，对技术原理和细节有深入理解；
3.具备较好的编程能力，熟练掌握Python、C++，具有扎实的算法和数据解构知识；
4.熟悉常见的训练框架，如PyTorch、TensorFlow、Paddle；
5.有自动驾驶高精度地图点云分类分割经验者优先；
6.具备测绘专业职称者优先。"
"路径规划与控制算法工程师","C++,人工智能服务,智能驾驶,业务导向,Python	1、负责室内服务机器人自主导航中的全局与局部路径规划、速度控制、避障算法的开发与调试2、负责室内机器人静态、动态全覆盖路径规划算法开发与调试3、负责机器人路径跟随控制算法开发与调试4、负责现有产品路径规划相关算法优化与调试5、负责现场产品运行过程中问题的确认、定位及处理任职要求：1、不限专业，硕士及以上学历，3年工作经历2、熟悉ROS开发工具3、熟悉常用全局路径规划与局部路径规划算法4、了解基本的全覆盖路径规划实现思路5、熟练使用C++/Python编程6、有相关产品算法研发者经历优先7、有团队管理经验者优先"
"无人机集群控制算法工程师","	        岗位职责：1.负责研发、优化和实现用于固定翼无人机集群的控制算法，包括自主飞行、路径跟踪、避障、编队飞行等。2.参与无人机集群系统的设计和开发，确保算法的高效性、稳定性和可靠性。3.不断改进和优化现有控制算法，提高算法的控制精度、鲁棒性和适应性。4.将开发的控制算法与无人机集群系统进行紧密集成，确保算法在实际飞行环境中能够稳定运行。5.进行算法测试和验证，对控制算法进行仿真和实地验证，并分析测试结果进行优化。6.与硬件工程师合作，适配不同类型的无人机硬件和传感器，确保控制算法能够充分利用无人机的性能。7.跟踪无人机集群控制技术领域的最新发展，探索新的算法和技术应用。8.完成相关技术文档的编写工作,包括功能设计书、软件需求说明书和产品说明书等。任职要求：1. 相关学历：硕士及以上学历，信息技术、自动控制、计算科学、无人机控制系统、航空航天等相关专业；2. 至少2-3年无人机及控制算法的研发工作经验,熟悉ROS,PX4,Mavlink等开源系统; 3. 精通C++编程语言,熟悉Linux系统,具有较强的软件架构设计和开发能力;4. 了解飞行动力学、仿真测试与运动规划相关知识与技术;5. 具备扎实的算法与数据结构基础，能够设计和分析复杂的算法，并优化其性能6. 了解无人机行业及技术标准;  7. 良好的沟通、协调和文档编写能力,具备一定的团队合作精神。                "
"算法研究员","自然语言处理,机器视觉,深度学习,Transformer,DNN,人工神经网络,PyTorch,TensorFlow,Keras,Python,C++,Java	【岗位职责】：<br>1. 从事基于大模型的垂直领域模型的研究、训练、应用，包括但不限于多语言、多模态、训练任务优化、下游任务迁移、知识融入更新、模型性能提升等；<br>2. 利用深度学习等前沿技术，开展语言、时序等大模型微调训练、应用、优化等算法工作。<br>3. 负责训练数据预处理；算法的训练与简单优化； 算法在应用场景中的性能调试，并编写调试记录。<br>【岗位要求】：<br>1. 计算机、人工智能相关专业本科、硕士应届生；<br>2. 在自然语言理解、计算机视觉、多模态、深度学习等领域有较深入的研究，熟练使用pytorch/tensorflow等至少一种主流深度学习框架，能够独立实现前沿模型，有NLP/CV/ML顶会发表经验者（ACL/EMNLP/CVPR/ICCV/NeurIPS等）优先；<br>3. 对LLM、多模态学习有深入理解和实践，有预训练、微调经验者优先；<br>4. 具备良好的逻辑思维能力、沟通协作能力、自我学习能力，保持对事物的好奇心；<br>5. 专利、会议论文发表者优先；<br>6. 有人工智能算法研发或工程落地经历者优先。<br><div>  <br></div>"
"导航算法工程师","导航算法,机器人算法,三维定位,传感器融合,智能机器人,导航定位,机器避障,引导制导	岗位职责<br>1、研究并开发机器人在未知环境中的地图构建算法以及自主定位算法。<br>2、研究并开发机器人自主避障、自主路径规划以及运动规划算法。<br>3、负责算法的优化、移植和产品化。<br>4、产品软件总体方案设计和编码实现。<br>5、协助制定产品测试方案，分析测试结果及解决技术问题。<br>6、跟踪技术发展潮流，为新产品开发提出合理建议。<br><br>岗位要求<br>1、熟悉基于激光雷达的SLAM算法，有激光SLAM方面的实际项目经验；<br>2、熟悉机器人路径规划、运动规划算法，有此方面实际项目经验；<br>3、熟悉C、C++编程和常用数据结构算法。<br>4、熟悉linux开发环境，有ROS开发经验。<br>5、掌握基础算法知识，比如EKF等。<br>6、具备良好的逻辑沟通能力和解决实际问题的能力。<br>7、熟悉超声波、激光点云、IMU等定位或传感器系统优先。"
"AI工程师","自然语言处理,视觉图像算法,语音算法	<p>岗位职责：<br>1、负责AI业务需求对接、分析、设计；<br>2、负责计算机视觉、自然语言处理等相关算法的调研、代码设计和编写；<br>3、与团队协作完成交互代码编写及调试；<br>4、在实践中把创新想法形成专利及论文发表。<br>任职要求：<br>1、学历要求：普通高等院校硕士及以上学历。<br>2、专业要求：计算机、自动化、电子通信等相关专业。<br>3、熟练掌握Linux开发技术；精通C++/Python等开发/脚本语言；熟练掌握keras、TensorFlow、PyTorch中的一种或多种深度学习框架；<br>4、有AI项目/平台开发经验，熟悉算法设计开发到部署的整个流程优先；<br>5、工作积极主动，抗压能力强，具备良好沟通及团队协作能力。</p>"
"数值计算引擎算法工程师(J10073)","算法开发,深度学习	职责描述：
1.有限元算法开发
2.深度学习算法开发
3.数值求解器开发
任职要求：
1.硕士或博士学历，计算数学或流体力学相关专业
2.掌握有限元数值方法及流体力学基础知识
3.掌握C++语言，具备一定的算法实现能力
4.能够阅读底层框架代码，并进行适度改造
5.有较强的学习能力，能够无障碍阅读英文资料"
"AI工程师","深度学习,自然语言处理算法,Python,算法工程化经验,发表算法相关优秀论文,参加算法相关竞赛/获奖,机器学习	1、从事机器学习算法和理论前沿研究。研究领域包括：元学习，AutoML, 深度学习，强化学习，贝叶斯学习等；
2、 探索人工智能应用，构建智能系统，提供AI云服务；
3、协同学术界/工业界专家资源，探索具备高度适应性的高能效AI算法、架构与平台 。

岗位要求
1、计算机科学、机器学习、统计学、应用数学等相关专业；
2、有良好的研究背景和成果，对算法研究兴趣浓厚，业务抽象能力强；具备创造性思维，能够将全新想法转化为工程应用；对研究工作充满热情，具备良好的团队合作精神和沟通能力；
3、具备较强的编程能力，精通主流编程语言，如C++ /Java /Python等；
4、在高水平国际会议和学术期刊发表过相关论文，或有高水平竞赛获奖经历。"
"NLP算法工程师","Java,大数据处理工具(Spark/Hadoop/Hive),深度学习	职位描述
1. 落地各类NLP和数据挖掘算法，搭建特征工程框架。
2. 负责用户基础标签挖掘，提升标签准确性和覆盖度，用画像赋能手机销售、用户增长。
3. 探索大模型技术，实现大模型在企业搜索等领域的落地。
职位要求
1. 熟悉Hadoop/Spark/Flink等大数据处理框架。
2. 熟悉Linux开发环境，熟悉Python/Java/Scala编程语言。
3. 熟悉常用的机器学习模型算法，有Spark机器学习经验优先。
4. 熟悉大模型技术，有大模型实践经验优先。
5. 拥有3年以上数据挖掘或NLP相关经验，有推荐系统、问答系统开发经验优先。
6. 对数据敏感，具备一定的数据分析能力。"
"自动驾驶算法工程师（北京）","	        【岗位职责】1、负责自动驾驶应用场景需求分析；2、负责自动驾驶相关的图像分类、检测、分割、跟踪算法开发；3、负责自动驾驶多传感器（包括不限于视觉/Lidar/Radar)融合感知算法的探索与研发；4、负责跟进前沿算法，并将前沿算法转化落地。 【任职要求】1、人工智能、电子、计算机、自动化、机器人、车辆工程等相关专业，博士学历； 2、熟悉深度学习模型开发,有良好的深度学习基础知识,至少能熟练使用TensorFlow、PyTorch、Mxnet等主流框架之一； 3、熟悉C/C++、Python ,有较强的代码实现能力，扎实的算法及数据结构基础； 4、有图像分类、目标检测(2D/3D)、分割、跟踪等相关领域研究优先； 5、了解ASIC、GPU、NPU、DSP，有算法硬化研究经验优先。工作地点:上海、北京、深圳、南京、西安                "
"视屏AI算法工程师","深度学习算法,视觉图像算法,算法设计,TensorFlow,PyTorch,Java,C++	一、任职要求:,1、学历：本科以上学历，专业：计算机相关专业，三年以上相关岗位技术资质者优先；,2、熟悉Python、C++及java语言能进行算法开发；熟练使用TensorFlow、Pytorch等框架，以及opencv库；,有独立建模、训练、优化的经验；,3、熟悉图像处理算法，计算机视觉、深度学习算法研发与部署，包括物体检测，图像分割，OCR等；熟悉各种深度学习算法，如SSD,faster rcnn,reid,mask rcnn,yolo等；,4、有责任心、善于学习，有较强的执行力；,5、具有良好的沟通、写作、表达、团队合作精神、抗压能力。,二、岗位职责:,1、负责视频AI算法开发、设计、优化和运维；,2、跟踪前沿的算法理论，进行优化和升级改造，将优秀的算法应用到业务场景中，支撑公司相关产品技术发展;,3、研究图像识别处理等算法方向，应用于智能设备等实际的业务落地场景；,4、深入理解和分析行业数据并收集产品知识与服务知识等资料；,5、能根据业务需求构建模型，训练集生成、模型训练、模型加速、算法改造优化，推动算法落地；,6、具视频监控、视频会议产品中音视频高效编码传输；,7、完成上级领导交办的其它工作。"
"算法工程师-S8101J (职位编号：S8101J)","	        1.？负责显示行业相关测量和检测算法的开发，研究，测试，校准和维护任务，包括但不限于均匀性测试，色亮度测量，缺陷分割等2.？色亮度仪器标定算法设计和研究3.？软件业务逻辑明晰，代码和文档细致规范3.？能完成业务指标和学习任务4.？底层算法实验经验（FPGA或者板载相机的算法实现和优化）5.？有色亮度算法开发经验优先6.？数学功底扎实者优先（线性代数，统计学，数值分析）职位要求：1)？硕士及以上学历，计算机视觉相关专业优先，3年视觉行业开发经验2)？数字图像处理等基础知识扎实，熟悉Halcon，OpenCV，Matlab等常用算法工具，掌握Python和C，C++编程语言3)？逻辑分析能力、学习能力和创新能力强，具有团队合作精神，良好的语言表达及沟通能力，具有一定的抗压能力4)？有颜色，感知，光学测量仪器等相关经验优先                "
"高级图像算法工程师","算法开发,图像检测,Python,图像识别,人脸识别,深度学习,机器视觉,PyTorch	公司是三一重工智能研究总院孵化的子公司，致力于在制造业领域的视觉算法应用。没有力扣算法题笔试，欢迎投递。

岗位职责:
1、基于监控场景和车载场景的数据，研发视觉算法解决方案。
2、对图像分类、检测、分割、跟踪等算法进行开发和优化。
3、对已上线的算法，快速响应迭代，达到交付要求。
4、积极跟踪业界前沿进展，保持算法的先进性。

岗位要求：
1、统招硕士及以上学历，3年以上图像算法开发经验。
2、图像算法理论基础扎实，算法开发经验丰富，对新的场景和需求能提出有效的视觉解决方案。
3、代码能力强，熟练掌握算法方案验证、数据回流和算法迭代流程，快速达到交付要求。
加分项：
1、端侧部署的量化和调优经验。
2、车载大模型开发经验。
3、视频内容理解开发经验。"
"算法工程师（图像处理）","视觉图像算法	岗位职责：1、负责图像处理算法的方案设计和仿真验证；2、负责FPGA算法模块设计、HDL代码编写；3、负责算法模块的方案分析、设计文档编写；4、配合产品针对FPGA工程进行调试，分析并解决算法模块相关问题。任职要求：1、硕士及以上学历，通信、电子信息、自动化、计算机、数学等相关专业；2、熟悉图像滤波、形态学处理、图像分割、图像拼接、图像融合、去噪等各类图像处理算法；3、能熟练运用Matlab/Python/C++进行算法设计和开发；4、精通HDL语言，有相关编程经验；5、在图形缩放,图像融合方面有深入的研究经历，有视频质量评价和优化经历者优先；6、在学术会议上发表图像处理、识别论文者优先。福利待遇1、实习补贴：6000元/月-10000元/月；2、六险一金、北京户口（应届硕士）、工作居住证、住房补助；3、免费体检、员工生日礼品、带薪年假、带薪病假、丰富多彩的部门培训及活动。"
"APS算法工程师","强化学习,深度学习	岗位职责：
1、业务主要针对制造业高级排程；
2、根据具体场景，设计合理的模型/算法，实现并解决落地过程中的问题；
3、跟踪行业发展的状态，为解决方案提供技术支撑，制定算法设计方案。

岗位要求：
1、运筹学、应用数学、统计学等相关专业本科及以上学历；
2、丰富的算法设计、开发，具有主导算法相关项目落地的经验；
3、熟悉运筹优化领域的主要理论工具和常用解决方法；
4、具备较强的业务理解和数学建模能力，能够快速理解问题、抽象并设计解决方法；
5、熟练掌握R、Python、Matlab 等编程语言，熟悉算法的开发、应用与迭代过程。"
"算法工程师（研究院）（电机、伺服）","	工作职责:
1.关注电机（伺服）控制前沿技术，阅读相关文献并软件实现；
2.电机（伺服）控制核心算法的研究，关键技术攻关；
3.对所设计算法进行建模和仿真，验证算法的可行性和有效性；
4.技术文档的整理和撰写；
5.协助解决应用过程中遇到的软件技术问题；

任职资格:
1、电力电子、电气自动化、电机、电力拖动等相关专业本科及以上学历；
2、两年以上相关工作经验，具有扎实的自动控制理论和电力拖动的基础；
3、C语言、Keil、CCS、Matlab，熟悉Arm、DSP芯片"
"运筹优化算法工程师","运筹优化,Python	【招实习生帖】运筹学方向招实习生，求推荐优秀简历，坐标【京东物流-技术与数据智能部-运营AI算法部-智能规划组】，感谢！<br><br>工作内容：<br>1、搭建大规模供应链优化系统；通过运筹优化、机器学习技术对各种真实业务场景问题进行业务抽象、建模、实现；<br>2、通过复杂数据解析，深入理解快递、快运、B2B等物流场景中的行为和模式，探索算法落地机会点，有效支持运营决策；<br>3、通过对复杂业务现场理解，能够对物流场景进行抽象和建模，通过算法降低运营成本，提升运作效率和服务质量；<br>4、工作内容包括但不限于：凸优化、元启发和数学启发等算法或技术在物流场景中的创新应用和落地实践。<br><br>任职资格：<br>1、统计学、计算机、自动化、运筹学、数学、系统工程、物流工程、仿真、管理科学与工程等相关专业；<br>2、熟悉常用数据挖掘/机器学习/深度学习算法或熟悉运筹优化、仿真优化等领域的算法及应用；<br>3、熟悉运筹优化领域主要问题、理论工具及常用解决方法，对LP、MIP、DP、Meta-Heuristics有较深入了解，并参与过相关领域大规模工程项目实践。<br>4、熟悉Linux系统，熟练掌握Python语言，能够熟练使用numpy、pandas、scikit-learn独立进行建模实验；<br>5、具备较强的分析问题、解决问题的能力和团队合作精神；<br><br>如下条件至少满足一条。<br>1、有TOP学术会议及期刊发表经历；<br>2、有主持或参与调度项目并取得良好效果经历；<br>3、有扎实的统计或者优化基础，良好的数据敏感度，有大规模的数据提取、挖掘经验或者数学建模经验；<br>4、能熟练使用某一种专业优化或者统计工具如Gurobi等。"
"多传感器融合算法工程师","算法,融合,传感器	职位描述：
1.参与自动驾驶多传感器（视觉、Lidar、Radar、超声等）融合感知方案的设计和开发；
-负责基于摄像头、激光、雷达等传感器的多源数据融合算法开发；
-负责融合目标的状态估计、跟踪和预测；
2.针对应用目标，设计和开发融合算法在不同自动驾驶应用中的落地与优化。
3.完成算法模块的调试、测试和和效果验证；
4.负责实车测试问题的分析定位、算法调试和持续优化。
5.其他相关工作

职位要求：
1.***硕士及以上学历，计算机视觉、应用数学、模式识别等相关专业；
2.3年以上相关工作经验；
3.熟悉摄像头、激光、毫米波雷达、IMU等传感器的工作原理；
4.熟悉EKF，PF滤波算法，以及贝叶斯理论；
5.熟练掌握C和C++编程；
6.有驾驶小型汽车经验者优先
7.良好的解决问题能力和沟通协作能力。"
"BMS算法工程师（工研总院岗）(J11709)","卡尔曼滤波,算法设计,算法开发,C语言	职责描述：
1、负责电池管理系统SOX(SOC/SOH/SOP/SOE)算法设计；
2、根据系统需求设计和维护算法需求说明文档和验证准则；
3、根据算法策略设计算法模型，并形成详细的设计文档；
4、根据算法模型和详细设计说明完成单元的MIL和SIL测试；
5、组织开展算法开发的工作产品评审和优化；
6、负责解决和整理客户或测试缺陷的算法问题。
任职要求：
1：自动化、数学、控制工程等相关电子类专业本科及以上学历；
2：电池管理系统算法开发经验优先；
3：5年以上电池管理系统SOX算法开发经验优先；
4：5年以上C语言或代码自动生成经验优先；
5：对电池模型和卡尔曼滤波有了解；了解英飞凌或NXP 16/32位单片机及开发应用环境；
6：熟悉Matlab/Simulink建模；
7：英语水平4级或以上。"
"自动驾驶控制算法工程师","ADAS,CANoe,Simulink,Matlab,算法开发,标定,功能开发,智能驾驶,决策规划,乘用车	岗位职责：
1.负责自动驾驶功能控制算法研究、开发与测试，以及算法参数的标定；
2.负责协助自动驾驶相关功能需求定义、方案制定、软件设计以及量产相关工作；
3.负责根据采集的数据分析功能问题，并配合测试团队解决问题。

岗位要求:
1.控制理论与控制工程、自动化与车辆工程等相关专业硕士及以上学历；
2.扎实的理论功底，熟悉车辆动力学、现代控制理论、非线性控制理论等；
3.熟练使用Matlab/Simulink、CarSim、CANOE、dSpace等汽车仿真测试软件；
4.具有良好的团队合作意识、沟通能力、协调能力，能够承担工作压力；
5.具有ADAS功能开发、测试与量产经验者优先。"
"气象雷达算法工程师","Python,数据挖掘,MATLAB,气象雷达信号处理	岗位职责：,1、负责气象观测数据处理算法的研发、实现、调试、改进；,2、负责气象数据挖掘、提取、融合等处理；,3、撰写相应的设计文档，负责算法知识产权工作;,任职要求：,1、应届或者2年以上工作经验；,2、气象学/大气科学/大气物理学/大气遥感等相关专业； ,3、 具有良好的气象知识基础，掌握常见气象数据格式，熟悉气象统计方法,4、拥有较强的学习与理解能力，愿意接触学习新知识、新技术,5、 具备良好的理解、表达和沟通能力，较好的逻辑分析能力和文字表达能力,6、熟练掌握MATLAB或Python语言,7、 具备气象雷达信号处理的项目经验者优先；,8、具备弱信号提取、低相噪比相关信号处理项目的经验者优先；"
"感知算法工程师 - SLAM(J10291)","Python,C/C++	工作职责:
职责描述:基于视觉的SLAM系统开发和评估；SLAM算法落地和性能提升；为未来XR体验开发原型，参与计算机视觉的前沿探索。
任职资格:
任职要求:深度了解VIO/SLAM/SfM知识；熟悉主流SLAM算法框架和数学计算库；有软件设计、开发、测试和部署的系统化经验和认知；有很强的软件工程能力，精通C++/C，熟悉Python；加分项：在SLAM/CV领域知名期刊和会议上发表过学术著作；Unity/Unreal/OpenGL开发知识；深度学习知识。"
